Host,Service/Product,Version,Port,CPE,CVE ID,Severity,Description,CVSS v2,CVSS v3,CVSS v4
192.168.100.35,Cisco Packet Tracer 8.2.2 64Bit,8.2.2.400,,cpe:2.3:a:cisco:cisco_packet:8.2.2.400:*:*:*:*:*:*:*,CVE-2018-0181,HIGH,"A vulnerability in the Redis implementation used by the Cisco Policy Suite for Mobile and Cisco Policy Suite Diameter Routing Agent software could allow an unauthenticated, remote attacker to modify key-value pairs for short-lived events stored by the Redis server. The vulnerability is due to improper authentication when accessing the Redis server. An unauthenticated attacker could exploit this vulnerability by modifying key-value pairs stored within the Redis server database. An exploit could allow the attacker to reduce the efficiency of the Cisco Policy Suite for Mobile and Cisco Policy Suite Diameter Routing Agent software.",,7.3,
192.168.100.35,Git,2.50.1,,cpe:2.3:a:git:git:2.50.1:*:*:*:*:*:*:*,CVE-2024-32002,CRITICAL,"Git is a revision control system. Prior to versions 2.45.1, 2.44.1, 2.43.4, 2.42.2, 2.41.1, 2.40.2, and 2.39.4, repositories with submodules can be crafted in a way that exploits a bug in Git whereby it can be fooled into writing files not into the submodule's worktree but into a `.git/` directory. This allows writing a hook that will be executed while the clone operation is still running, giving the user no opportunity to inspect the code that is being executed. The problem has been patched in versions 2.45.1, 2.44.1, 2.43.4, 2.42.2, 2.41.1, 2.40.2, and 2.39.4. If symbolic link support is disabled in Git (e.g. via `git config --global core.symlinks false`), the described attack won't work. As always, it is best to avoid cloning repositories from untrusted sources.",,9.0,
192.168.100.35,Git,2.50.1,,cpe:2.3:a:git:git:2.50.1:*:*:*:*:*:*:*,CVE-2024-52006,HIGH,"Git is a fast, scalable, distributed revision control system with an unusually rich command set that provides both high-level operations and full access to internals. Git defines a line-based protocol that is used to exchange information between Git and Git credential helpers. Some ecosystems (most notably, .NET and node.js) interpret single Carriage Return characters as newlines, which renders the protections against CVE-2020-5260 incomplete for credential helpers that treat Carriage Returns in this way. This issue has been addressed in commit `b01b9b8` which is included in release versions v2.48.1, v2.47.2, v2.46.3, v2.45.3, v2.44.3, v2.43.6, v2.42.4, v2.41.3, and v2.40.4. Users are advised to upgrade. Users unable to upgrade should avoid cloning from untrusted URLs, especially recursive clones.",,7.5,2.1
192.168.100.35,Microsoft Office Home and Student 2021 - en-us,16.0.19426.20218,,cpe:2.3:a:microsoft:microsoft_office:16.0.19426.20218:*:*:*:*:*:*:*,CVE-2023-24910,HIGH,Windows Graphics Component Elevation of Privilege Vulnerability,,7.8,
192.168.100.35,Microsoft Office Home and Student 2021 - en-us,16.0.19426.20218,,cpe:2.3:a:microsoft:microsoft_office:16.0.19426.20218:*:*:*:*:*:*:*,CVE-2024-38250,HIGH,Windows Graphics Component Elevation of Privilege Vulnerability,,7.8,
192.168.100.35,Microsoft Office Home and Student 2021 - en-us,16.0.19426.20218,,cpe:2.3:a:microsoft:microsoft_office:16.0.19426.20218:*:*:*:*:*:*:*,CVE-2024-49056,HIGH,Authentication bypass by assumed-immutable data on airlift.microsoft.com allows an authorized attacker to elevate privileges over a network.,,7.3,
192.168.100.35,Microsoft Office Home and Student 2021 - en-us,16.0.19426.20218,,cpe:2.3:a:microsoft:microsoft_office:16.0.19426.20218:*:*:*:*:*:*:*,CVE-2025-47162,HIGH,Heap-based buffer overflow in Microsoft Office allows an unauthorized attacker to execute code locally.,,8.4,
192.168.100.35,Microsoft Office Home and Student 2021 - en-us,16.0.19426.20218,,cpe:2.3:a:microsoft:microsoft_office:16.0.19426.20218:*:*:*:*:*:*:*,CVE-2025-47164,HIGH,Use after free in Microsoft Office allows an unauthorized attacker to execute code locally.,,8.4,
192.168.100.35,Microsoft Office Home and Student 2021 - en-us,16.0.19426.20218,,cpe:2.3:a:microsoft:microsoft_office:16.0.19426.20218:*:*:*:*:*:*:*,CVE-2025-47953,HIGH,Use after free in Microsoft Office allows an unauthorized attacker to execute code locally.,,8.4,
192.168.100.35,Microsoft Office Home and Student 2021 - en-us,16.0.19426.20218,,cpe:2.3:a:microsoft:microsoft_office:16.0.19426.20218:*:*:*:*:*:*:*,CVE-2025-49695,HIGH,Use after free in Microsoft Office allows an unauthorized attacker to execute code locally.,,8.4,
192.168.100.35,Microsoft Office Home and Student 2021 - en-us,16.0.19426.20218,,cpe:2.3:a:microsoft:microsoft_office:16.0.19426.20218:*:*:*:*:*:*:*,CVE-2025-49696,HIGH,Out-of-bounds read in Microsoft Office allows an unauthorized attacker to execute code locally.,,8.4,
192.168.100.35,Microsoft Office Home and Student 2021 - en-us,16.0.19426.20218,,cpe:2.3:a:microsoft:microsoft_office:16.0.19426.20218:*:*:*:*:*:*:*,CVE-2025-49697,HIGH,Heap-based buffer overflow in Microsoft Office allows an unauthorized attacker to execute code locally.,,8.4,
192.168.100.35,Microsoft Office Home and Student 2021 - en-us,16.0.19426.20218,,cpe:2.3:a:microsoft:microsoft_office:16.0.19426.20218:*:*:*:*:*:*:*,CVE-2025-49702,HIGH,Access of resource using incompatible type ('type confusion') in Microsoft Office allows an unauthorized attacker to execute code locally.,,7.8,
